pin_code,Total Schools,Total Public Schools,Total Private Schools
481665,79,76,3
465220,79,61,18
441201,79,72,7
431710,79,67,12
400606,79,49,30
394540,79,59,20
388180,79,70,9
380013,79,36,43
363030,79,47,32
361001,79,23,56
331501,79,38,41
326021,79,62,17
314038,79,57,22
313905,79,70,9
313341,79,65,14
272172,79,52,27
263679,79,73,6
263134,79,74,5
262541,79,73,6
247671,79,55,24
230143,79,48,31
224172,79,62,17
224164,79,44,35
222101,79,50,29
212218,79,48,31
193504,79,66,13
185153,79,63,16
176125,79,58,21
132107,79,43,36
127032,79,47,32
848205,78,68,10
847233,78,74,4
802220,78,64,14
799105,78,73,5
794001,78,57,21
786158,78,68,10
785696,78,72,6
781355,78,74,4
781122,78,68,10
584143,78,54,24
583218,78,59,19
582209,78,57,21
581359,78,75,3
581109,78,71,7
571441,78,68,10
561213,78,62,16
464226,78,70,8
456770,78,60,18
431143,78,71,7
423403,78,73,5
416403,78,71,7
415620,78,77,1
410101,78,68,10
390019,78,33,45
388540,78,58,20
383305,78,74,4
382220,78,62,16
365421,78,51,27
362275,78,50,28
332024,78,54,24
328029,78,52,26
327026,78,63,15
322202,78,52,26
311407,78,63,15
307024,78,66,12
306126,78,60,18
303510,78,55,23
303110,78,44,34
282002,78,29,49
274403,78,53,25
262402,78,40,38
248158,78,75,3
224231,78,52,26
224137,78,52,26
224119,78,60,18
222181,78,49,29
212651,78,51,27
209726,78,49,29
209304,78,63,15
202281,78,46,32
184104,78,60,18
181133,78,42,36
125053,78,53,25
125047,78,52,26
125005,78,38,40
848502,77,67,10
847239,77,67,10
847102,77,71,6
841420,77,69,8
835233,77,72,5
833203,77,68,9
831001,77,39,38
823002,77,41,36
812001,77,45,32
802222,77,70,7
802214,77,69,8
802206,77,71,6
802134,77,66,11
795147,77,70,7
793002,77,51,26
788719,77,55,22
788709,77,60,17
784180,77,72,5
586208,77,56,21
586124,77,47,30
586118,77,47,30
583279,77,65,12
581202,77,63,14
577533,77,74,3
496115,77,70,7
485113,77,61,16
462021,77,23,54
458669,77,52,25
444606,77,47,30
431207,77,70,7
421605,77,33,44
416101,77,61,16
412218,77,73,4
412106,77,71,6
400607,77,31,46
400060,77,47,30
393135,77,72,5
387001,77,40,37
364240,77,62,15
333307,77,43,34
331024,77,43,34
313611,77,69,8
307513,77,55,22
303102,77,44,33
284201,77,50,27
283152,77,66,11
283135,77,21,56
276302,77,37,40
275301,77,58,19
274205,77,58,19
263632,77,63,14
262553,77,73,4
251317,77,33,44
249204,77,31,46
233231,77,52,25
221206,77,47,30
209112,77,68,9
208002,77,30,47
205141,77,52,25
204211,77,60,17
194301,77,74,3
175009,77,74,3
174021,77,57,20
171206,77,69,8
852107,76,69,7
845427,76,71,5
843332,76,66,10
843129,76,71,5
841504,76,50,26
841411,76,69,7
812004,76,66,10
799270,76,70,6
796070,76,58,18
794101,76,53,23
788156,76,64,12
785636,76,70,6
587203,76,61,15
583222,76,55,21
583126,76,65,11
573219,76,73,3
571416,76,73,3
487225,76,65,11
481883,76,73,3
471411,76,56,20
462044,76,40,36
460554,76,71,5
450221,76,71,5
444401,76,66,10
444302,76,62,14
441205,76,69,7
413209,76,61,15
411048,76,25,51
400022,76,58,18
395005,76,26,50
392150,76,62,14
391510,76,71,5
370155,76,74,2
362650,76,65,11
333023,76,39,37
332027,76,56,20
322249,76,67,9
322234,76,49,27
303001,76,49,27
301401,76,47,29
250601,76,55,21
228142,76,54,22
224195,76,48,28
221713,76,41,35
210425,76,54,22
209652,76,58,18
202410,76,60,16
202135,76,44,32
176047,76,58,18
175013,76,74,2
134118,75,61,14
126113,76,51,25
123106,76,47,29
854108,75,67,8
845406,75,55,20
841410,75,67,8
835228,75,67,8
784001,75,58,17
782128,75,61,14
591306,75,42,33
587118,75,55,20
586103,75,28,47
585417,75,61,14
580008,75,40,35
580007,75,61,14
577418,75,69,6
577006,75,35,40
572121,75,69,6
477331,75,69,6
473865,75,65,10
470118,75,61,14
431713,75,73,2
431151,75,68,7
414701,75,69,6
410208,75,49,26
402302,75,66,9
388225,75,65,10
362260,75,51,24
360025,75,52,23
333029,75,44,31
322024,75,49,26
321633,75,53,22
303003,75,45,30
272128,75,52,23
271301,75,53,22
262906,75,51,24
262552,75,66,9
243725,75,48,27
227125,75,59,16
222144,75,43,32
212405,75,44,31
209209,75,52,23
209203,75,67,8
203395,75,29,46
201003,75,27,48
192306,75,64,11
171007,75,65,10
133206,75,62,13
126114,75,61,14
847229,74,67,7
845425,74,67,7
844123,74,67,7
844111,74,66,8
841423,74,68,6
828401,74,52,22
828116,74,39,35
816129,74,71,3
811107,74,71,3
803109,74,66,8
801105,74,64,10
798618,74,58,16
785625,74,68,6
781125,74,60,14
673639,74,54,20
586205,74,54,20
586115,74,48,26
585321,74,69,5
577502,74,48,26
577413,74,65,9
573216,74,69,5
572127,74,67,7
562135,74,51,23
495220,74,61,13
493113,74,64,10
487337,74,63,11
486123,74,65,9
473440,74,61,13
470120,74,67,7
453111,74,46,28
444708,74,67,7
444102,74,64,10
431104,74,62,12
422606,74,69,5
421004,74,44,30
414005,74,62,12
413523,74,70,4
411041,74,21,53
394380,74,74,0
389390,74,64,10
364750,74,58,16
332025,74,35,39
322254,74,45,29
314401,74,66,8
314029,74,67,7
306022,74,58,16
303006,74,57,17
303002,74,46,28
272191,74,56,18
262726,74,64,10
251203,74,41,33
248125,74,47,27
247670,74,44,30
246472,74,70,4
244303,74,41,33
232102,74,49,25
230134,74,39,35
228125,74,55,19
225401,74,67,7
206251,74,43,31
173223,73,70,3
171011,74,60,14
125077,74,55,19
854107,73,66,7
845457,73,62,11
845435,73,70,3
843123,73,64,9
843112,73,63,10
805107,73,66,7
803214,73,65,8
785634,73,63,10
737139,73,54,19
585290,73,52,21
573210,73,66,7
494556,73,68,5
487555,73,60,13
466661,73,50,23
462036,73,43,30
445207,73,68,5
441904,73,48,25
423703,73,67,6
422620,73,71,2
413524,73,67,6
410506,73,51,22
402111,73,70,3
402103,73,64,9
391240,73,56,17
388220,73,56,17
383330,73,67,6
361005,73,32,41
360575,73,41,32
342304,73,28,45
335039,73,58,15
332023,73,46,27
307511,73,48,25
303704,73,32,41
303325,73,52,21
273309,73,45,28
263628,73,64,9
262805,73,63,10
230502,73,50,23
221302,73,34,39
205130,73,57,16
182161,73,70,3
175106,73,67,6
134205,73,71,2
854336,72,54,18
853205,72,71,1
848501,72,65,7
848236,72,63,9
816105,72,66,6
795127,72,61,11
788726,72,60,12
788005,72,57,15
785107,72,63,9
781302,72,57,15
737116,72,61,11
737101,72,38,34
583132,72,36,36
571439,72,60,12
571421,72,63,9
571127,72,67,5
571125,72,62,10
571109,72,65,7
570026,72,49,23
563159,72,70,2
488222,72,65,7
450114,72,61,11
444901,72,65,7
443203,72,61,11
441906,71,59,12
422209,72,56,16
416214,72,70,2
415111,72,63,9
413522,72,60,12
401305,72,21,51
389152,72,68,4
387335,72,68,4
384170,72,58,14
382210,72,40,32
363440,72,64,8
363410,72,56,16
342801,72,54,18
331506,72,44,28
322240,72,45,27
306115,72,37,35
305922,72,57,15
305412,72,53,19
272148,72,51,21
262554,72,62,10
250221,72,35,37
249135,72,65,7
246277,72,68,4
227413,72,51,21
221406,72,48,24
221306,72,37,35
211006,72,16,56
209747,72,53,19
209312,72,59,13
181131,72,46,26
176319,72,66,6
175027,72,59,13
171226,72,68,4
124501,72,36,36
854332,71,68,3
847302,71,57,14
843325,71,67,4
841416,71,54,17
835325,71,62,9
800009,71,41,30
799263,71,63,8
795139,71,63,8
788166,71,61,10
786611,71,58,13
785101,71,63,8
782412,71,68,3
781311,71,51,20
591232,71,64,7
586127,71,53,18
586125,71,53,18
585324,71,56,15
582114,71,52,19
581325,71,63,8
562131,71,70,1
562107,71,40,31
560082,71,35,36
491338,71,61,10
484116,71,59,12
482005,71,44,27
458330,71,48,23
457339,71,58,13
457222,71,57,14
444704,71,59,12
422215,71,64,7
416516,71,68,3
413317,71,66,5
413310,71,58,13
413222,71,61,10
411037,71,38,33
403505,71,68,3
396040,71,60,11
335702,71,52,19
333022,71,39,32
332021,71,48,23
322702,71,46,25
321406,71,33,38
307802,71,46,25
283145,71,48,23
276139,71,35,36
274501,71,40,31
272199,71,60,11
249408,71,34,37
249186,71,58,13
247664,71,47,24
246173,71,68,3
225207,71,55,16
222604,71,2,69
222105,71,39,32
190015,71,33,38
172101,71,67,4
171103,71,62,9
136033,71,52,19
125111,71,48,23
123411,71,52,19
847307,70,64,6
845430,70,64,6
814113,70,65,5
804426,70,64,6
803113,70,49,21
794112,70,61,9
787035,70,59,11
781328,70,61,9
587330,70,61,9
585437,70,63,7
585329,70,56,14
580028,70,54,16
580020,70,45,25
577547,70,64,6
577511,70,67,3
573135,70,59,11
572228,70,68,2
572107,70,59,11
562149,70,40,30
560100,70,18,52
477227,70,60,10
473662,70,68,2
440035,70,46,24
440013,70,30,40
431803,70,65,5
431519,70,65,5
425103,70,60,10
415639,70,56,14
415611,70,69,1
411038,70,34,36
411030,70,50,20
411006,70,44,26
400074,70,37,33
370655,70,65,5
335502,70,44,26
335022,70,57,13
321302,70,41,29
313022,70,56,14
312402,70,53,17
303502,70,52,18
281406,70,46,24
274603,70,41,29
271870,70,56,14
241501,70,64,6
231231,70,33,37
227101,70,62,8
224188,70,36,34
221008,70,24,46
209743,70,59,11
207505,70,29,41
194102,70,65,5
182147,70,62,8
854201,69,65,4
851131,69,57,12
844124,69,51,18
841408,69,55,14
829134,69,55,14
829107,69,55,14
802133,69,44,25
801113,69,58,11
793004,69,45,24
783369,69,55,14
781343,69,54,15
781310,69,54,15
781304,69,60,9
583228,69,52,17
583137,69,64,5
583115,69,46,23
581208,69,61,8
573112,69,62,7
571617,69,64,5
563121,69,57,12
560097,69,19,50
494005,69,64,5
470228,69,56,13
452012,69,23,46
441221,69,63,6
431150,69,58,11
431115,69,61,8
425503,69,59,10
413005,69,62,7
410210,69,20,49
396126,69,62,7
394370,69,65,4
389146,69,66,3
385135,69,61,8
364150,69,51,18
345024,69,61,8
333704,69,41,28
333053,69,46,23
325206,69,49,20
324010,69,25,44
314023,69,59,10
307023,69,52,17
305023,69,28,41
302022,69,18,51
276127,69,45,24
262532,69,61,8
262407,69,46,23
251310,69,20,49
251305,69,38,31
249301,69,59,10
246162,69,63,6
233311,69,34,35
226102,69,38,31
224210,69,51,18
224135,69,29,40
209738,69,49,20
206246,69,56,13
203141,69,50,19
845413,68,65,3
845315,68,60,8
843326,68,58,10
821116,68,66,2
804418,68,61,7
799260,68,63,5
799141,68,66,2
797107,68,49,19
795101,68,51,17
788711,68,44,24
788009,68,61,7
744202,68,62,6
586123,68,48,20
585331,68,49,19
585265,68,53,15
577432,68,56,12
577139,68,63,5
572113,68,59,9
571189,68,60,8
560085,68,9,59
560037,68,22,46
490006,68,27,41
465113,68,46,22
452009,68,10,58
452006,68,23,45
441924,68,63,5
441803,68,57,11
441208,68,57,11
431211,68,59,9
421204,68,35,33
415013,68,65,3
414105,68,60,8
402401,68,55,13
400037,68,39,29
393115,68,60,8
387430,68,61,7
380015,68,16,52
362265,68,24,44
341504,68,53,15
341316,68,39,29
332404,68,27,41
321409,68,46,22
313202,68,59,9
301030,68,38,30
283119,68,51,17
277121,68,60,8
274601,68,43,25
273406,68,43,25
273153,68,57,11
263676,68,66,2
262905,68,58,10
243401,68,57,11
232331,68,39,29
229310,68,47,21
224234,68,52,16
211016,68,22,46
201304,68,21,47
194302,68,62,6
184151,68,54,14
180017,68,55,13
176201,68,54,14
132116,68,46,22
131023,68,33,35
125078,68,59,9
841435,67,58,9
841414,67,53,14
828305,67,37,30
802165,67,56,11
788002,67,55,12
573122,67,65,2
572201,67,50,17
571402,67,45,22
571218,67,47,20
571103,67,60,7
493331,67,57,10
431125,67,62,5
423208,67,62,5
413322,67,65,2
412805,67,32,35
410507,67,51,16
403512,67,65,2
400709,67,21,46
400092,67,41,26
400050,67,39,28
389360,67,65,2
365640,67,49,18
343042,67,45,22
322213,67,46,21
314031,67,59,8
306702,67,41,26
306001,67,41,26
263140,67,47,20
262544,67,63,4
229506,67,30,37
225403,67,55,12
224209,67,44,23
222148,67,36,31
205119,67,44,23
185156,67,59,8
176022,67,50,17
127030,67,52,15
122413,67,40,27
852110,66,59,7
845458,66,51,15
829122,66,24,42
813110,66,63,3
804427,66,61,5
804425,66,60,6
795118,66,56,10
788126,66,56,10
788114,66,60,6
788026,66,58,8
783354,66,43,23
781340,66,50,16
590010,66,40,26
585311,66,52,14
572139,66,62,4
571428,66,38,28
560074,66,37,29
560047,66,26,40
481332,66,54,12
480442,66,57,9
476219,66,58,8
472339,66,57,9
472010,66,60,6
454775,66,34,32
450337,66,55,11
443204,66,54,12
443106,66,50,16
431212,66,55,11
416512,66,62,4
416301,66,55,11
416230,66,61,5
415711,66,61,5
415514,66,59,7
413120,66,63,3
413104,66,58,8
400083,66,40,26
391140,66,65,1
383355,66,63,3
370145,66,65,1
370105,66,56,10
365440,66,47,19
362020,66,47,19
360530,66,51,15
332403,66,38,28
321411,66,53,13
321405,66,46,20
314021,66,53,13
312620,66,48,18
274182,66,42,24
271861,66,46,20
249199,66,53,13
249121,66,57,9
230306,66,46,20
229413,66,35,31
203203,66,54,12
132036,66,37,29
123024,66,57,9
852121,65,51,14
851212,65,58,7
848208,65,58,7
847104,65,54,11
845414,65,60,5
843330,65,62,3
841441,65,50,15
841413,65,57,8
828204,65,50,15
802125,65,52,13
802122,65,56,9
800020,65,23,42
800002,65,36,29
798625,65,52,13
795132,65,43,22
792131,65,59,6
788733,65,43,22
787001,65,46,19
786614,65,59,6
782003,65,49,16
591248,65,54,11
587154,65,52,13
586120,65,54,11
585418,65,48,17
585414,65,39,26
581318,65,60,5
577520,65,55,10
560105,65,37,28
560084,65,20,45
484336,65,51,14
481884,65,64,1
480881,65,61,4
452005,65,10,55
415124,65,50,15
414306,65,56,9
400086,65,51,14
384210,65,56,9
364002,65,25,40
363001,65,22,43
342013,65,21,44
335027,65,47,18
326518,65,50,15
313614,65,60,5
313024,65,52,13
306603,65,40,25
305204,65,41,24
305025,65,41,24
303803,65,42,23
303506,65,44,21
303304,65,53,12
283207,65,58,7
274703,65,47,18
262561,65,59,6
246169,65,57,8
246141,65,57,8
243402,65,54,11
242227,65,36,29
233232,65,36,29
222135,65,38,27
208019,65,11,54
176031,65,50,15
173206,65,55,10
171217,65,60,5
127028,65,46,19
124106,65,46,19
847423,64,59,5
847240,64,59,5
841415,64,60,4
841203,64,55,9
835305,64,61,3
828306,64,29,35
824123,64,54,10
804429,64,63,1
795125,64,61,3
793103,64,41,23
786103,64,60,4
781371,64,55,9
587122,64,50,14
586114,64,48,16
585322,64,60,4
577552,64,53,11
577214,64,60,4
577202,64,43,21
573111,64,62,2
571424,64,51,13
560062,64,15,49
484114,64,46,18
483105,64,48,16
475002,64,57,7
457336,64,53,11
444808,64,62,2
440027,64,29,35
431742,64,62,2
425301,64,59,5
416229,64,54,10
413709,64,44,20
413253,64,60,4
413219,64,57,7
413112,64,58,6
412216,64,48,16
401203,64,14,50
387640,64,63,1
362620,64,50,14
361280,64,54,10
335002,64,40,24
331303,64,48,16
325223,64,52,12
321609,64,31,33
321028,64,40,24
248198,64,27,37
230144,64,33,31
229209,64,54,10
225122,64,53,11
224203,64,26,38
221602,64,43,21
221115,64,41,23
210504,64,51,13
209827,64,50,14
209745,64,55,9
208022,64,7,57
207402,64,51,13
206255,64,49,15
203396,64,39,25
175049,64,57,7
173212,64,46,18
171209,64,56,8
135021,64,51,13
133104,64,45,19
132054,64,55,9
123034,64,50,14
122506,64,43,21
852132,63,52,11
847236,63,56,7
844507,63,59,4
844112,63,58,5
841505,63,54,9
841235,63,49,14
841215,63,52,11
805129,63,61,2
802217,63,60,3
799035,63,58,5
790001,63,51,12
785618,63,58,5
591233,63,54,9
583104,63,26,37
582112,63,55,8
577540,63,51,12
577126,63,55,8
575001,63,39,24
572222,63,62,1
572135,63,61,2
572111,63,55,8
571418,63,60,3
561101,63,57,6
560072,63,17,46
560040,63,24,39
560023,63,27,36
495553,63,48,15
480108,63,50,13
477117,63,53,10
474002,63,16,47
461221,63,51,12
456664,63,45,18
455221,63,42,21
450991,63,53,10
440018,63,45,18
431102,63,56,7
416216,63,52,11
415608,63,59,4
415604,63,60,3
413544,63,59,4
413525,63,54,9
413103,63,58,5
402120,63,62,1
393140,63,62,1
385505,63,60,3
382480,63,21,42
370020,63,44,19
364310,63,60,3
360590,63,49,14
360579,63,52,11
342021,63,50,13
335511,63,30,33
321402,63,34,29
313327,63,52,11
312206,63,40,23
311030,63,55,8
307803,63,40,23
301414,63,45,18
281123,63,55,8
272170,63,28,35
271824,63,45,18
271609,63,40,23
263626,63,56,7
251306,63,28,35
250622,63,46,17
246401,63,38,25
212650,63,47,16
193202,63,47,16
175142,63,62,1
175040,63,52,11
127310,63,49,14
848160,62,55,7
847337,62,60,2
845423,62,58,4
841442,62,51,11
828111,62,41,21
811309,62,55,7
798604,62,53,9
792001,62,51,11
788168,62,40,22
673638,62,47,15
591212,62,56,6
591201,62,34,28
587204,62,53,9
586210,62,46,16
577541,62,58,4
577434,62,58,4
577221,62,53,9
577134,62,52,10
572122,62,60,2
571301,62,42,20
495009,62,46,16
487770,62,52,10
481224,62,59,3
472101,62,60,2
464113,62,58,4
457556,62,57,5
441809,62,61,1
440001,62,31,31
422001,62,50,12
416511,62,57,5
411044,62,24,38
411039,62,40,22
396105,62,52,10
394230,62,21,41
389340,62,57,5
389330,62,43,19
382460,62,44,18
382443,62,18,44
361320,62,52,10
341026,62,35,27
326501,62,49,13
301427,62,39,23
271901,62,47,15
263631,62,56,6
262576,62,54,8
249404,62,29,33
225405,62,48,14
210422,62,53,9
182126,62,50,12
181204,62,53,9
173207,62,54,8
845431,61,58,3
841211,61,52,9
833101,61,55,6
802163,61,57,4
799004,61,54,7
788098,61,51,10
786621,61,53,8
785010,61,50,11
785006,61,50,11
784113,61,52,9
781301,61,48,13
670645,61,48,13
591129,61,52,9
584139,61,55,6
581322,61,60,1
577426,61,56,5
574227,61,37,24
572128,61,60,1
571605,61,58,3
571425,61,56,5
560090,61,19,42
560021,61,30,31
560004,61,24,37
494456,61,60,1
490042,61,40,21
481116,61,54,7
475005,61,39,22
470675,61,51,10
460004,61,54,7
454276,61,57,4
451443,61,57,4
444717,61,59,2
441103,61,56,5
441101,61,58,3
431201,61,53,8
425302,61,52,9
424106,61,59,2
423204,61,58,3
422303,61,48,13
422009,61,37,24
416109,61,38,23
413728,61,55,6
412303,61,52,9
411017,61,29,32
402201,61,45,16
401202,61,23,38
394630,61,57,4
389232,61,55,6
388450,61,49,12
382421,61,22,39
382120,61,58,3
380028,61,24,37
361012,61,54,7
345033,61,48,13
341302,61,36,25
332710,61,42,19
331811,61,31,30
322033,61,52,9
321231,61,14,47
314028,61,51,10
312623,61,48,13
305926,61,56,5
305802,61,34,27
249001,61,45,16
246130,61,49,12
230138,61,35,26
222149,61,41,20
222128,61,38,23
221706,61,47,14
212661,61,44,17
209864,61,51,10
209602,61,40,21
207503,61,45,16
203405,61,36,25
201002,61,13,48
173221,61,55,6
173217,60,55,5
133004,61,50,11
132104,61,47,14
122503,61,38,23
847407,60,56,4
843110,60,57,3
841419,60,56,4
835221,60,51,9
825316,60,38,22
824219,60,55,5
802155,60,52,8
795145,60,51,9
793003,60,38,22
791101,60,45,15
788816,60,48,12
784153,60,55,5
737132,60,36,24
591106,60,56,4
587113,60,51,9
586130,60,43,17
586122,60,44,16
585308,60,45,15
585307,60,41,19
585213,60,48,12
585201,60,40,20
582120,60,54,6
577111,60,50,10
573119,60,55,5
573118,60,57,3
571455,60,51,9
571433,60,56,4
560096,60,23,37
560022,60,28,32
495448,60,54,6
492099,60,28,32
475686,60,49,11
463101,60,34,26
441002,60,43,17
413603,60,55,5
412214,60,53,7
402305,60,58,2
402112,60,59,1
401101,60,19,41
382440,60,15,45
382346,60,11,49
345031,60,48,12
334601,60,45,15
332602,60,29,31
328041,60,47,13
328031,60,46,14
322030,60,38,22
306105,60,45,15
301412,60,44,16
263634,60,51,9
263150,60,56,4
262580,60,56,4
261208,60,2,58
247668,60,41,19
246440,60,57,3
232340,60,30,30
232332,60,33,27
226303,60,50,10
224127,60,34,26
222301,60,28,32
190018,60,36,24
132024,60,32,28
127043,60,47,13
125044,60,27,33
848206,59,56,3
845428,59,49,10
843322,59,43,16
843108,59,36,23
841236,59,40,19
835304,59,51,8
832110,59,16,43
805121,59,55,4
799264,59,51,8
797104,59,41,18
795146,59,45,14
795131,59,41,18
785674,59,57,2
785633,59,51,8
784527,59,53,6
784167,59,51,8
784105,59,48,11
783333,59,44,15
781338,59,50,9
671314,59,44,15
605110,59,31,28
587103,59,39,20
585411,59,50,9
581213,59,47,12
577599,59,50,9
577557,59,55,4
577553,59,55,4
577223,59,50,9
573128,59,58,1
572138,59,57,2
571315,59,55,4
562126,59,53,6
562108,59,55,4
493195,59,50,9
487881,59,48,11
485112,59,46,13
477333,59,53,6
474011,59,11,48
466221,59,34,25
465339,59,41,18
456661,59,47,12
451552,59,57,2
416606,59,57,2
416601,59,55,4
415606,59,53,6
415405,59,57,2
412402,59,55,4
402108,59,53,6
390001,59,27,32
388230,59,58,1
365220,59,48,11
361306,59,56,3
344705,59,55,4
342006,59,16,43
324004,59,16,43
322028,59,42,17
313205,59,37,22
312204,59,48,11
306304,59,46,13
303327,59,35,24
276125,59,31,28
262529,59,56,3
242306,59,38,21
241407,59,44,15
241125,59,44,15
230405,59,30,29
227814,59,41,18
227812,59,37,22
224201,59,30,29
211004,59,16,43
202170,59,38,21
175102,59,55,4
175035,59,54,5
171213,59,51,8
171201,59,52,7
135101,59,44,15
122102,59,32,27
852109,58,52,6
851120,58,48,10
847106,58,45,13
841460,58,53,5
835217,58,28,30
824127,58,52,6
804405,58,56,2
801112,58,50,8
785697,58,53,5
784027,58,50,8
671323,58,34,24
670702,58,48,10
586102,58,30,28
583120,58,37,21
583116,58,33,25
581358,58,56,2
581346,58,56,2
581210,58,52,6
571405,58,55,3
570010,58,50,8
563160,58,47,11
562132,58,54,4
495003,58,45,13
474012,58,11,47
472447,58,51,7
464672,58,53,5
462016,58,13,45
458339,58,43,15
455339,58,49,9
445306,58,54,4
445105,58,50,8
444706,58,53,5
444504,58,51,7
444405,58,55,3
442604,58,55,3
441306,58,52,6
431809,58,50,8
423205,58,47,11
423105,58,44,14
413608,58,50,8
413319,58,52,6
413229,58,57,1
396055,58,55,3
395009,58,14,44
394715,58,57,1
393120,58,56,2
388235,58,51,7
362630,58,39,19
362250,58,40,18
362240,58,47,11
341319,58,43,15
327024,58,36,22
311023,58,47,11
306707,58,44,14
302034,58,2,56
281405,58,36,22
274506,58,35,23
271841,58,53,5
263001,58,42,16
251307,58,32,26
250223,58,43,15
247669,58,23,35
246419,58,48,10
226020,58,32,26
226005,58,40,18
202142,58,46,12
175129,58,51,7
175031,58,54,4
173208,58,49,9
125042,58,38,20
122505,58,32,26
843106,57,52,5
829111,57,38,19
802313,57,49,8
796290,57,39,18
790104,57,46,11
786601,57,47,10
784112,57,41,16
783385,57,45,12
587111,57,49,8
584132,57,45,12
577543,57,54,3
572226,57,56,1
572217,57,56,1
571201,57,43,14
562162,57,35,22
560005,57,25,32
492006,57,21,36
487114,57,50,7
482021,57,45,12
466114,57,39,18
458553,57,42,15
457995,57,56,1
454773,57,42,15
444903,57,48,9
444707,57,53,4
441915,57,53,4
441204,57,42,15
421003,57,31,26
415803,57,52,5
415207,57,55,2
413205,57,48,9
413204,57,54,3
400055,57,38,19
400051,57,39,18
396210,57,45,12
388710,57,56,1
383340,57,51,6
383335,57,54,3
